position,rank,name,lastName,uri,imageUri,worth,age,source,industry,gender
1,1,Wang Jianlin,Wang,wang-jianlin,wang-jianlin,30000,61,real estate,Real Estate,M
2,2,Jack Ma,Ma,jack-ma,jack-ma,21800,51,Alibaba,Technology,M
3,3,Ma Huateng,Ma,ma-huateng,ma-huateng,17600,44,internet,Technology,M
4,4,Lei Jun,Lei,lei-jun,lei-jun,13200,45,smartphones,Technology,M
5,5,Wang Wenyin,Wang,wang-wenyin,wang-wenyin,12100,47,"mining, copper products",Metals & Mining,M
6,6,Robin Li,Li,robin-li,robin-li,10400,47,internet search,Technology,M
7,7,He Xiangjian,He,he-xiangjian,he-xiangjian,9300,73,home appliances,Manufacturing,M
8,8,Hui Ka Yan,Hui,hui-ka-yan,hui-ka-yan,8700,57,real estate,Real Estate,M
9,9,Liu Qiangdong,Liu,liu-qiangdong,liu-qiangdong,7800,41,e-commerce,Technology,M
10,10,William Ding,Ding,william-ding,william-ding,7500,44,online games,Technology,M
11,11,Guo Guangchang,Guo,guo-guangchang,guo-guangchang,7300,48,conglomerate,Diversified,M
12,11,Zong Qinghou,Zong,zong-qinghou,zong-qinghou,7300,70,beverages,Food and Beverage,M
13,13,Lu Guanqiu,Lu,lu-guanqiu,lu-guanqiu,7000,70,conglomerate,Diversified,M
14,14,Wei Jianjun,Wei,wei-jianjun,wei-jianjun,6400,51,automobiles,Automotive,M
15,15,Zhang Zhidong,Zhang,zhang-zhidong,zhang-zhidong,6300,43,internet media,Technology,M
16,16,Chan Laiwa,Chan,chan-laiwa,chan-laiwa,6200,74,real estate,Real Estate,F
17,17,Jia Yueting,Jia,jia-yueting,jia-yueting,6000,42,online video,Technology,M
18,18,Zhou Qunfei,Zhou,zhou-qunfei,zhou-qunfei,5900,45,smartphone glass covers,Technology,F
19,19,Liu Yongxing,Liu,liu-yongxing,liu-yongxing,5600,67,agribusiness,Service,M
20,20,Zhou Jianping,Zhou,zhou-jianping,no-pic,5550,55,apparel,Fashion and Retail,M
21,21,Wang Chuanfu,Wang,wang-chuanfu,wang-chuanfu,5500,49,"batteries, autos",Automotive,M
22,22,Sun Guangxin,Sun,sun-guangxin,sun-guangxin,5300,52,diversified,Diversified,M
23,23,Gong Hongjia,Gong,gong-hongjia,gong-hongjia,5200,50,investments,Investments,M
24,24,Yang Huiyan,Yang,yang-huiyan,yang-huiyan,5100,34,real estate,Real Estate,F
25,25,Hui Wing Mau,Hui,hui-wing-mau,hui-wing-mau,4950,65,real estate,Real Estate,M
26,26,Liu Yonghao,Liu,liu-yonghao,liu-yonghao,4900,64,agribusiness,Service,M
27,27,Li Hejun,Li,li-hejun,li-hejun,4800,48,renewable energy,Energy,M
28,28,Zhang Jindong,Zhang,zhang-jindong,zhang-jindong,4750,52,appliance retailer,Fashion and Retail,M
29,29,Lu Zhiqiang,Lu,lu-zhiqiang,lu-zhiqiang,4700,63,conglomerate,Diversified,M
30,30,Tong Jinquan,Tong,tong-jinquan,no-pic,4600,61,real estate,Real Estate,M
31,31,Liang Wengen,Liang,liang-wengen,liang-wengen,4400,58,construction equipment,Manufacturing,M
32,32,Wang Wei,Wang,wang-wei,wang-wei,4000,44,package delivery service,Service,M
33,32,Wang Wenxue,Wang,wang-wenxue,wang-wenxue,4000,48,real estate,Real Estate,M
34,34,Huang Rulun,Huang,huang-rulun,huang-rulun,3950,64,real estate,Real Estate,M
35,35,Pang Kang,Pang,pang-kang,no-pic,3900,59,soy sauce maker,Food and Beverage,M
