position,rank,name,lastName,uri,imageUri,age,gender,country,title,category,organization,government
1,1,Vladimir Putin,Putin,vladimir-putin,vladimir-putin,63,M,Russia,"President, Russia",Politics,Russia,true
2,2,Angela Merkel,Merkel,angela-merkel,angela-merkel,61,F,Germany,"Chancellor, Germany",Politics,Germany,true
3,3,Barack Obama,Obama,barack-obama,barack-obama,54,M,United States,"President, United States",Politics,United States,true
4,4,Pope Francis,Francis,pope-francis,pope-francis,78,M,Vatican City State,"Bishop of Rome, Roman Catholic Church",Religion,Roman Catholic Church,false
5,5,Xi Jinping,Xi,xi-jinping,xi-jinping,62,,China,"General Secretary, Communist Party, China",Politics,China,true
6,6,Bill Gates,Gates,bill-gates,bill-gates,60,M,United States,"Cofounder, Bill &#38; Melinda Gates Foundation",Technology,Bill &#38; Melinda Gates Foundation,false
7,7,Janet Yellen,Yellen,janet-yellen,janet-yellen,69,F,United States,"Chair, Federal Reserve, Washington, United States",Finance,"Washington, United States",true
8,8,David Cameron,Cameron,david-cameron,david-cameron,49,,United Kingdom,"Prime Minister, United Kingdom",Politics,United Kingdom,true
9,9,Narendra Modi,Modi,narendra-modi,narendra-modi,65,M,India,"Prime Minister, India",Politics,India,true
10,10,Larry Page,Page,larry-page,larry-page,42,M,United States,"CEO, Google",Technology,Google,false
11,11,Mario Draghi,Draghi,mario-draghi,mario-draghi,68,M,Italy,"President, European Central Bank",Politics,European Central Bank,false
12,12,Li Keqiang,Li,li-keqiang,li-keqiang,60,,,"Premier, China",,China,true
13,13,Warren Buffett,Buffett,warren-buffett,warren-buffett,85,M,United States,"CEO, Berkshire Hathaway",Investments,Berkshire Hathaway,false
14,14,Salman bin Abdulaziz Al Saud,Al Saud,salman-bin-abdulaziz-al-saud,salman-bin-abdulaziz-al-saud,79,M,,,,,
15,15,Carlos Slim Helu,Slim Helu,carlos-slim-helu,carlos-slim-helu,75,M,Mexico,"Honorary Chairman, Am&#233;rica M&#243;vil",Telecom,Am&#233;rica M&#243;vil,false
16,16,Francois Hollande,Hollande,francois-hollande,francois-hollande,61,,France,"President, France",,France,true
17,17,Jeff Bezos,Bezos,jeff-bezos,jeff-bezos,51,M,United States,"CEO and Founder, Amazon.com",Technology,Amazon.com,false
18,18,Ali Hoseini-Khamenei,Hoseini-Khamenei,ali-hoseini-khamenei,ali-hoseini-khamenei,76,,Iran,"Grand Ayatollah, Iran",Religion,Iran,true
19,19,Mark Zuckerberg,Zuckerberg,mark-zuckerberg,mark-zuckerberg,31,M,United States,"Cofounder, Chairman and CEO, Facebook",Technology,Facebook,false
20,20,Jamie Dimon,Dimon,jamie-dimon,jamie-dimon,59,,United States,"CEO, JPMorgan Chase",Finance,JPMorgan Chase,false
21,21,Benjamin Netanyahu,Netanyahu,benjamin-netanyahu,benjamin-netanyahu,66,M,Israel,"Prime Minister, Israel",Politics,Israel,true
22,22,Jack Ma,Ma,jack-ma,jack-ma,51,M,China,,Technology,,
23,23,Christine Lagarde,Lagarde,christine-lagarde,christine-lagarde,59,F,United States,"Managing director, International Monetary Fund",Philanthropy/NGO,International Monetary Fund,false
24,24,Jeffrey Immelt,Immelt,jeffrey-immelt,jeffrey-immelt,59,M,United States,"CEO, General Electric",Diversified,General Electric,false
25,25,Rex Tillerson,Tillerson,rex-tillerson,rex-tillerson,63,,United States,"CEO, Exxon Mobil",Energy,Exxon Mobil,false
26,26,Lloyd Blankfein,Blankfein,lloyd-blankfein,lloyd-blankfein,61,,United States,"CEO, Goldman Sachs Group",Investments,Goldman Sachs Group,false
27,27,Tim Cook,Cook,tim-cook,tim-cook,55,M,United States,"CEO, Apple",Technology,Apple,false
28,28,Akio Toyoda,Toyoda,akio-toyoda,akio-toyoda,59,,,"CEO, Toyota Motor",,Toyota Motor,false
29,29,Charles Koch,Koch,charles-koch,charles-koch,80,M,United States,"CEO, Koch Industries",Diversified,Koch Industries,false
30,29,David Koch,Koch,david-koch,david-koch,75,M,United States,"Executive Vice President, Koch Industries",Diversified,Koch Industries,false
31,30,Sergey Brin,Brin,sergey-brin,sergey-brin,42,M,United States,"Cofounder, Director Of Special Projects, Google",Technology,Google,false
32,31,Li Ka-shing,Li,li-ka-shing,li-ka-shing,87,M,Hong Kong,"Chairman, CK Hutchison Holdings",Diversified,CK Hutchison Holdings,false
33,32,Doug McMillon,McMillon,doug-mcmillon,doug-mcmillon,49,M,United States,"CEO, Wal-Mart Stores",Fashion and Retail,Wal-Mart Stores,false
34,33,Jay Y. Lee,Lee,jay-y-lee,jay-y-lee,47,M,South Korea,"Vice Chair, Samsung Group",Diversified,Samsung Group,false
