position,rank,name,lastName,uri,imageUri,worth,worthChange,age,source,industry,gender,country,title,timestamp,archivedWorth
1,1,Bill Gates,Gates,bill-gates,bill-gates,79503.194,75.103,60,Microsoft,Technology,M,United States,"Cofounder, Bill &#38; Melinda Gates Foundation",1448641501521,79200
2,2,Amancio Ortega,Ortega,amancio-ortega,amancio-ortega,74303.817,529.008,79,Zara,Retail,M,Spain,,1448641501521,64500
3,3,Warren Buffett,Buffett,warren-buffett,warren-buffett,63430.997,146.39,85,Berkshire Hathaway,Investments,M,United States,"CEO, Berkshire Hathaway",1448641501521,72700
4,4,Carlos Slim Helu,Slim Helu,carlos-slim-helu,carlos-slim-helu,60325.966,-14.811,75,telecom,Telecom,M,Mexico,"Honorary Chairman, Am&#233;rica M&#243;vil",1448641501521,77100
5,5,Jeff Bezos,Bezos,jeff-bezos,jeff-bezos,59069.171,-49.335,51,Amazon.com,Technology,M,United States,"CEO and Founder, Amazon.com",1448641501521,34800
6,6,Larry Ellison,Ellison,larry-ellison,larry-ellison,48975.679,22.683,71,Oracle,Technology,M,United States,"CEO and Founder, Oracle",1448641501521,54300
7,7,Mark Zuckerberg,Zuckerberg,mark-zuckerberg,mark-zuckerberg,45956.573,-85.25,31,Facebook,Technology,M,United States,"Cofounder, Chairman and CEO, Facebook",1448641501521,33400
8,8,Charles Koch,Koch,charles-koch,charles-koch,44396.733,0,80,diversified,Diversified,M,United States,"CEO, Koch Industries, Inc.",1448641501521,42900
9,8,David Koch,Koch,david-koch,david-koch,44396.733,0,75,diversified,Diversified,M,United States,"Executive Vice President, Koch Industries, Inc.",1448641501521,42900
10,10,Michael Bloomberg,Bloomberg,michael-bloomberg,michael-bloomberg,40890.119,0,73,Bloomberg LP,Media,M,United States,"CEO, Bloomberg LP",1448641501521,35500
11,11,Liliane Bettencourt,Bettencourt,liliane-bettencourt,liliane-bettencourt,40361.586,96.48,93,L'Oreal,Fashion and Retail,F,France,,1448641501521,40100
12,12,Larry Page,Page,larry-page,larry-page,38430.8,78.49,42,Google,Technology,M,United States,"CEO, Google",1448641501521,29700
13,13,Sergey Brin,Brin,sergey-brin,sergey-brin,37634.376,76.454,42,Google,Technology,M,United States,"Cofounder, Director Of Special Projects, Google",1448641501521,29200
14,14,Bernard Arnault,Arnault,bernard-arnault,bernard-arnault,36014.099,-204.656,66,LVMH,Fashion and Retail,M,France,"Chairman and CEO, LVMH Moet Hennessy Louis Vuitton",1448641501521,37200
15,15,Li Ka-shing,Li,li-ka-shing,li-ka-shing,33212.255,1072.976,87,diversified,Diversified,M,Hong Kong,"Chairman, CK Hutchison Holdings",1448641501521,33300
16,16,Jim Walton,Walton,jim-walton,jim-walton,31688.714,-85.572,67,Wal-Mart,Fashion and Retail,M,United States,"Chairman and CEO, Arvest Bank Group, Inc.",1448641501521,40600
17,17,Wang Jianlin,Wang,wang-jianlin,wang-jianlin,30394.269,-1133.97,61,real estate,Real Estate,M,China,,1448641501521,24200
18,18,Alice Walton,Walton,alice-walton,alice-walton,30103.116,-85.08,66,Wal-Mart,Fashion and Retail,F,United States,"Chairman, Crystal Bridges Museum of American Art",1448641501521,39400
19,19,S. Robson Walton,Walton,s-robson-walton,s-robson-walton,29764.611,-85.522,71,Wal-Mart,Fashion and Retail,M,United States,"Chairman, Wal-Mart Stores",1448641501521,39100
20,20,Christy Walton,Walton,christy-walton,christy-walton,28776.291,-88.853,66,Wal-Mart,Fashion and Retail,F,United States,"Co-Chair, Children's Scholarship Fund",1448641501521,41700
21,21,Phil Knight,Knight,phil-knight,phil-knight,28094.52,53.909,77,Nike,Fashion and Retail,M,United States,"Chairman, Nike",1448641501521,21500
22,22,Georg Schaeffler,Schaeffler,georg-schaeffler,georg-schaeffler,26541.094,362.85,51,ball bearings,Manufacturing,M,Germany,,1448641501521,26900
23,23,Jorge Paulo Lemann,Lemann,jorge-paulo-lemann,jorge-paulo-lemann,26081.712,157.467,76,beer,Food and Beverage,M,Brazil,,1448641501521,25000
24,24,David Thomson,Thomson,david-thomson,david-thomson,25564.135,27.38,58,media,Media,M,Canada,"Chairman, Thomson Reuters",1448641501521,25500
25,25,Steve Ballmer,Ballmer,steve-ballmer,steve-ballmer,25069.09,69.886,59,Microsoft,Technology,M,United States,"CEO, Microsoft",1448641501521,21500
26,26,Sheldon Adelson,Adelson,sheldon-adelson,sheldon-adelson,24808.84,-302.304,82,casinos,Gaming,M,United States,"Chairman and CEO, Las Vegas Sands",1448641501521,31400
27,27,George Soros,Soros,george-soros,george-soros,24500,0,85,hedge funds,Investments,M,United States,"Founder, Soros Fund Management LLC",1448641501521,24200
28,28,Lee Shau Kee,Lee,lee-shau-kee,lee-shau-kee,24359.782,-219.8,87,real estate,Real Estate,M,Hong Kong,,1448641501521,24800
29,29,Jack Ma,Ma,jack-ma,jack-ma,23475.535,-237.417,51,Alibaba,Technology,M,China,,1448641501521,22700
30,30,Forrest Mars Jr,Mars,forrest-mars-jr,forrest-mars-jr,23112.734,0,84,candy,Food and Beverage,M,United States,,1448641501521,26600
31,30,Jacqueline Mars,Mars,jacqueline-mars,jacqueline-mars,23112.734,0,76,candy,Food and Beverage,F,United States,,1448641501521,26600
32,30,John Mars,Mars,john-mars,no-pic,23112.734,0,79,candy,Food and Beverage,M,United States,,1448641501521,26600
33,33,Stefan Persson,Persson,stefan-persson,stefan-persson,22548.52,69.98,68,H&M,Fashion and Retail,M,Sweden,"Chairman, H&#38;M",1448641501521,24500
34,34,Maria Franca Fissolo,Fissolo,maria-franca-fissolo,no-pic-female,22473.124,0,97,"Nutella, chocolates",Food and Beverage,F,Italy,,1448641501521,23400
35,35,Leonardo Del Vecchio,Del Vecchio,leonardo-del-vecchio,leonardo-del-vecchio,22343.256,206.58,80,eyeglasses,Fashion and Retail,M,Italy,,1448641501521,20400
36,36,Prince Alwaleed Bin Talal Alsaud,Alsaud,prince-alwaleed-bin-talal-alsaud,prince-alwaleed-bin-talal-alsaud,21973.003,-22.848,60,investments,Investments,M,Saudi Arabia,,1448641501521,22600
37,37,Tadashi Yanai,Yanai,tadashi-yanai,tadashi-yanai,21896.632,497.846,66,retail,Fashion and Retail,M,Japan,,1448641501521,20200
38,38,Mukesh Ambani,Ambani,mukesh-ambani,mukesh-ambani,21286.071,218.524,58,"petrochemicals, oil & gas",Energy,M,India,"Chairman, Reliance Industries",1448641501521,21000
39,39,Carl Icahn,Icahn,carl-icahn,carl-icahn,21219.375,44.213,79,investments,Investments,M,United States,"Founder, Icahn Capital Management",1448641501521,23500
40,40,Dhanin Chearavanont,Chearavanont,dhanin-chearavanont,dhanin-chearavanont,21079.339,-492.383,76,food,Diversified,M,Thailand,,1448641501521,13600
41,41,Laurene Powell Jobs,Powell Jobs,laurene-powell-jobs,laurene-powell-jobs,20507.479,-620.78,52,"Apple, Disney",Technology,F,United States,"Founder and Chair, Emerson Collective",1448641501521,19500
42,42,Michael Dell,Dell,michael-dell,michael-dell,19373.785,-0.905,50,Dell,Technology,M,United States,"Chairman and CEO, Dell",1448641501521,19200
43,43,Beate Heister & Karl Albrecht Jr.,Albrecht Jr.,beate-heister-karl-albrecht-jr,no-pic,18903.504,0,,supermarkets,Fashion and Retail,,Germany,,1448641501521,21300
44,44,Ma Huateng,Ma,ma-huateng,ma-huateng,18889.437,-363.528,44,internet portal,Technology,M,China,,1448641501521,16100
45,45,Len Blavatnik,Blavatnik,len-blavatnik,len-blavatnik,18631.03,-25.649,58,diversified,Energy,M,United States,,1448641501521,20200
46,46,Anne Cox Chambers,Chambers,anne-cox-chambers,anne-cox-chambers,18613.338,0,95,media,Media,F,United States,,1448641501521,17000
47,47,Paul Allen,Allen,paul-allen,paul-allen,18088.944,26.291,62,"Microsoft, investments",Technology,M,United States,,1448641501521,17500
48,48,Charles Ergen,Ergen,charles-ergen,charles-ergen,17298.669,16.341,62,satellite TV,Media,M,United States,"Founder and Chairman, DISH Network",1448641501521,20100
49,49,Theo Albrecht Jr,Albrecht,theo-albrecht-jr,no-pic,16784.869,0,64,"Aldi, Trader Joe's",Fashion and Retail,M,Germany,,1448641501521,19000
50,50,Aliko Dangote,Dangote,aliko-dangote,aliko-dangote,16420.092,0.001,58,"cement, sugar, flour",Manufacturing,M,Nigeria,"CEO, Dangote Group",1448641501521,14700
51,51,Azim Premji,Premji,azim-premji,azim-premji,16248.186,128.905,70,software services,Technology,M,India,"Chairman, Wipro Limited (ADR)",1448641501521,19100
52,52,Michael Otto,Otto,michael-otto,michael-otto,16219.986,1.236,72,"retail, real estate",Fashion and Retail,M,Germany,,1448641501521,18100
53,53,Dieter Schwarz,Schwarz,dieter-schwarz,no-pic,16200.438,0,76,retail,Fashion and Retail,M,Germany,,1448641501521,19400
54,54,Dilip Shanghvi,Shanghvi,dilip-shanghvi,dilip-shanghvi,15911.409,636.072,60,pharmaceuticals,Healthcare,M,India,,1448641501521,20000
55,55,Ray Dalio,Dalio,ray-dalio,ray-dalio,15300,0,66,hedge funds,Investments,M,United States,"Founder & Co-Chief Investment Officer, Bridgewater Associates",1448641501521,15400
56,56,Donald Bren,Bren,donald-bren,donald-bren,15240.284,0,83,real estate,Real Estate,M,United States,"Chairman, Irvine Company",1448641501521,15200
57,57,Susanne Klatten,Klatten,susanne-klatten,susanne-klatten,15235.556,210.447,53,"BMW, pharmaceuticals",Automotive,F,Germany,,1448641501521,16800
58,58,Serge Dassault,Dassault,serge-dassault,serge-dassault,15186.508,137.836,90,aviation,Manufacturing,M,France,,1448641501521,15300
59,59,Hinduja family,Hinduja,hinduja-1,hinduja-1,15102.324,68.078,101,Hinduja Group,Diversified,M,United Kingdom,,1448641501521,14500
60,60,Joseph Safra,Safra,joseph-safra,joseph-safra,15074.065,-1.648,76,banking,Finance,M,Brazil,,1448641501521,17300
61,61,Mikhail Fridman,Fridman,mikhail-fridman,mikhail-fridman,14732.393,-45.379,51,"oil, banking, telecom",Energy,M,Russia,,1448641501521,14600
62,62,Abigail Johnson,Johnson,abigail-johnson,abigail-johnson,14732.165,0,53,money management,Investments,F,United States,"President-CEO, Fidelity Investments",1448641501521,13400
63,63,Robin Li,Li,robin-li,robin-li,14569.096,-8.665,47,internet search,Technology,M,China,"Founder and CEO, Baidu",1448641501521,15300
64,64,Leonid Mikhelson,Mikhelson,leonid-mikhelson,leonid-mikhelson,14327.793,-35.508,60,"gas, chemicals",Energy,M,Russia,,1448641501521,11700
65,65,Pallonji Mistry,Mistry,pallonji-mistry,pallonji-mistry,14222.939,-30.725,86,construction,Construction & Engineering,M,India,,1448641501521,16300
66,66,Thomas Peterffy,Peterffy,thomas-peterffy,thomas-peterffy,14011.034,0,71,discount brokerage,Investments,M,United States,,1448641501521,10900
67,67,James Simons,Simons,james-simons,james-simons,14000,0,77,hedge funds,Investments,M,United States,"Founder, Renaissance Technologies Corp.",1448641501521,14000
68,68,Alisher Usmanov,Usmanov,alisher-usmanov,alisher-usmanov,13897.272,-32.312,62,"steel, telecom, investments",Metals & Mining,M,Russia,"Founder, Metalloinvest",1448641501521,14400
69,69,Stefan Quandt,Quandt,stefan-quandt,stefan-quandt,13869.012,264.974,49,BMW,Automotive,M,Germany,,1448641501521,15600
70,70,Wang Wenyin,Wang,wang-wenyin,wang-wenyin,13838.239,0,47,"mining, copper products",Metals & Mining,M,China,,1448641501521,9900
71,71,David & Simon Reuben,Reuben,david-simon-reuben,david-simon-reuben,13763.537,0,72,"investments, real estate",Real Estate,M,United Kingdom,,1448641501521,13700
72,72,Henry Sy,Sy,henry-sy,henry-sy,13561.166,-385.557,91,SM Investments Corporation,Diversified,M,Philippines,,1448641501521,14200
73,73,Charlene de Carvalho-Heineken,de Carvalho-Heineken,charlene-de-carvalho-heineken,charlene-de-carvalho-heineken,13538.028,22.52,61,Heineken,Food and Beverage,F,Netherlands,,1448641501521,11600
74,74,Lei Jun,Lei,lei-jun,lei-jun,13331.965,-30.671,45,smartphones,Technology,M,China,,1448641501521,13200
75,75,Marcel Herrmann Telles,Telles,marcel-herrmann-telles,marcel-herrmann-telles,13318.002,77.979,65,beer,Food and Beverage,M,Brazil,,1448641501521,13000
76,76,Francois Pinault,Pinault,francois-pinault,francois-pinault,13213.244,-39.969,79,retail,Fashion and Retail,M,France,,1448641501521,14900
77,77,Stefano Pessina,Pessina,stefano-pessina,stefano-pessina,13193.869,154.645,74,drugstores,Healthcare,M,Italy,,1448641501521,12100
78,78,Thomas & Raymond Kwok,Kwok,thomas-raymond-kwok,thomas-raymond-kwok,12996.141,-220.486,,real estate,Real Estate,M,Hong Kong,,1448641501521,15900
79,79,Alexey Mordashov,Mordashov,alexey-mordashov,alexey-mordashov,12969.527,-45.359,50,"steel, investments",Metals & Mining,M,Russia,,1448641501521,13000
80,80,Vladimir Potanin,Potanin,vladimir-potanin,vladimir-potanin,12921.914,-151.767,54,metals,Metals & Mining,M,Russia,,1448641501521,15400
81,81,Masayoshi Son,Son,masayoshi-son,masayoshi-son,12747.248,-77.25,58,"internet, telecom",Telecom,M,Japan,"CEO, Softbank",1448641501521,14100
82,82,Rupert Murdoch,Murdoch,rupert-murdoch,rupert-murdoch,12577.816,-171.355,84,media,Media,M,United States,"Chairman and CEO, News Corp",1448641501521,13900
83,83,Gerald Cavendish Grosvenor,Grosvenor,gerald-cavendish-grosvenor,gerald-cavendish-grosvenor,12576.973,0,63,real estate,Real Estate,M,United Kingdom,,1448641501521,12600
84,84,Viktor Vekselberg,Vekselberg,viktor-vekselberg,viktor-vekselberg,12549.307,57.222,58,"metals, energy",Energy,M,Russia,,1448641501521,14200
85,85,Patrick Soon-Shiong,Soon-Shiong,patrick-soon-shiong,patrick-soon-shiong,12536.497,-21.991,63,pharmaceuticals,Healthcare,M,United States,,1448641501521,12200
86,86,Hans Rausing,Rausing,hans-rausing,hans-rausing,12500,0,89,packaging,Media,M,Sweden,,1448641501521,12500
87,87,Dietrich Mateschitz,Mateschitz,dietrich-mateschitz,dietrich-mateschitz,12429.653,0,71,Red Bull,Food and Beverage,M,Austria,,1448641501521,10800
88,88,Shiv Nadar,Nadar,shiv-nadar,shiv-nadar,12375.244,49.276,70,software services,Technology,M,India,,1448641501521,14800
89,89,Elon Musk,Musk,elon-musk,elon-musk,12374.982,31.954,44,Tesla Motors,Automotive,M,United States,"Founder, CEO, Space Exploration Technologies Corp.",1448641501521,12000
90,90,Ronald Perelman,Perelman,ronald-perelman,ronald-perelman,12270.726,-15.599,72,leveraged buyouts,Investments,M,United States,,1448641501521,14500
91,91,Steve Cohen,Cohen,steve-cohen,steve-cohen,12000,0,59,hedge funds,Investments,M,United States,"Founder, Point72 Asset Management",1448641501521,11400
92,92,Gennady Timchenko,Timchenko,gennady-timchenko,gennady-timchenko,11915.937,-33.686,63,oil & gas,Energy,M,Russia,,1448641501521,10700
93,93,Philip Anschutz,Anschutz,philip-anschutz,philip-anschutz,11853.723,-13.268,75,investments,Investments,M,United States,,1448641501521,11800
94,94,Donald Newhouse,Newhouse,donald-newhouse,donald-newhouse,11790.644,-4.797,85,media,Media,M,United States,,1448641501521,8300
95,95,Andrew Beal,Beal,andrew-beal,andrew-beal,11772.014,0,62,"banks, real estate",Investments,M,United States,,1448641501521,11700
96,96,David Tepper,Tepper,david-tepper,david-tepper,11600,0,58,hedge funds,Investments,M,United States,"President and Founder, Appaloosa Management",1448641501521,10400
97,97,Carlos Alberto Sicupira,Sicupira,carlos-alberto-sicupira,no-pic,11544.739,56.944,67,beer,Food and Beverage,M,Brazil,,1448641501521,11300
98,98,John Paulson,Paulson,john-paulson,john-paulson,11440,0,59,hedge funds,Investments,M,United States,"Founder, Paulson &#38; Co. Inc.",1448641501521,11200
99,99,Samuel Newhouse Jr,Newhouse,samuel-newhouse-jr,samuel-newhouse-jr,11380.477,-0.355,87,media,Media,M,United States,,1448641501521,9000
100,100,Klaus-Michael Kuehne,Kuehne,klaus-michael-kuehne-1,klaus-michael-kuehne-1,11038.353,124.947,78,shipping,Logistics,M,Germany,,1448641501521,11900
101,101,Eric Schmidt,Schmidt,eric-schmidt,eric-schmidt,10971.045,16.744,60,Google,Technology,M,United States,"Executive Chairman, Google",1448641501521,9100
102,102,Charoen Sirivadhanabhakdi,Sirivadhanabhakdi,charoen-sirivadhanabhakdi,charoen-sirivadhanabhakdi,10907.979,-70.847,71,beverages,Food and Beverage,M,Thailand,,1448641501521,13200
103,103,Stephen Schwarzman,Schwarzman,stephen-schwarzman,stephen-schwarzman,10903.729,-32.469,68,investments,Investments,M,United States,"Chairman and CEO, Blackstone Group",1448641501521,12000
104,104,Lee Kun-Hee,Lee,lee-kun-hee,lee-kun-hee,10775.462,140.425,73,Samsung,Diversified,M,South Korea,"Chairman, Samsung Group",1448641501521,11300
105,105,Hui Ka Yan,Hui,hui-ka-yan,hui-ka-yan,10725.8,-471.999,57,real estate,Real Estate,M,China,,1448641501521,6200
106,106,Mohammed Al Amoudi,Al Amoudi,mohammed-al-amoudi,mohammed-al-amoudi,10706.68,102.947,69,"oil, diversified",Energy,M,Saudi Arabia,,1448641501521,10800
